place_id,restaurant_name,latitude,longitude,search_area,Anchor_Destinations,Daytime_Population,Commercial_Vitality
ChIJdbPL25kZ6zkRNOQ57OZRrGM,KGF Restaurant (Krispy Grill Factory),27.6815962,85.3373002,Baneshwor,0.1303,0.3654,0.3539
ChIJPyMpSZIZ6zkRe-SLnRb1uSE,Fat mama's Restaurant & Lounge bar,27.6878285,85.3414714,Baneshwor,0.0908,0.621,0.4704
ChIJHeXQ6oEZ6zkRNeqTWTMOBRc,The Gaga Restaurant,27.6928302,85.3364952,Baneshwor,0.1127,0.5806,0.4596
ChIJB_6lr5cZ6zkRXOmPpVqupIw,Anytime Burger Baneshwor,27.6919853,85.33631729999999,Baneshwor,0.1623,0.6435,0.5058
ChIJIXTLk-oZ6zkRM_UvXojy59Y,Red Chilly Cafe & Restaurant,27.692381,85.32941269999999,Baneshwor,0.0713,0.4062,0.3285
ChIJ_9rWM_MZ6zkRWHeOJLjzOkI,Food Garden,27.6922436,85.336505,Baneshwor,0.1265,0.6066,0.4827
ChIJXZJdH6MZ6zkRe54E_8Ro9yk,Coriander the Restaurant,27.7038502,85.3416195,Baneshwor,0.0762,0.3615,0.2623
ChIJ33mHTwAZ6zkRBft5JQ8BqJc,Royal 66 Bar & Restaurant,27.6858637,85.3455085,Baneshwor,0.1049,0.5217,0.5022
ChIJHQw2KNYZ6zkRtKNtnylpaFc,Hideaway Restaurant,27.6999583,85.3438303,Baneshwor,0.0908,0.4068,0.2591
ChIJy17xWwAZ6zkR2ptUugJs7DU,Mapo Restaurant,27.6946273,85.3277106,Baneshwor,0.0854,0.28,0.2483
ChIJmWX9DAAZ6zkRn1wiTbVCrlM,aarambha restaurant and bar,27.6866837,85.326116,Baneshwor,0.092,0.4,0.2761
ChIJJcNz4b0Z6zkR8IBFFGdNSZQ,Royal Alina’s restaurant pvt ltd,27.6885102,85.333214,Baneshwor,0.1502,0.6513,0.5308
ChIJXz5ivb4Z6zkRvZy9V0I4NC8,Sital Chautari Restaurant,27.6873859,85.33737670000001,Baneshwor,0.1448,0.5783,0.4919
ChIJE5VkUhIZ6zkRXsCI3-SsG8o,Wasabi Sushi Restaurant,27.6888877,85.3315252,Baneshwor,0.167,0.622,0.444
ChIJcReqS_wZ6zkR2Js-C_kGTKY,Aone K G and restaurant,27.6927958,85.3266562,Baneshwor,0.06,0.2447,0.2976
ChIJbYs7G20Z6zkRL46PudG6JEY,Restaurant Maya Chowk,27.7064769,85.34394999999999,Baneshwor,0.0324,0.147,0.1009
ChIJGyW_yJkZ6zkRs-YFF_81lnc,Sinche,27.6980748,85.3381443,Baneshwor,0.0908,0.5191,0.3122
ChIJa90t_pUZ6zkRJFw2_YrJNQ0,Thakali Bhancha and Sekuwa Cafe,27.6882816,85.33445449999999,Baneshwor,0.1884,0.6668,0.4978
ChIJJ1tlf5cZ6zkRjxlM37tu2rk,RDX Café Rooftop Restaurant & Bar,27.6940315,85.3371116,Baneshwor,0.1301,0.5523,0.45
ChIJP_9K8NEZ6zkRKj3W_5jAo0M,Hook Hospitality | Restaurant & Lounge Bar,27.6800704,85.3371945,Baneshwor,0.1459,0.301,0.2752
ChIJixQtaUwZ6zkR-BqhRxf1xFM,Dharahara Welcome Tapari Momo & Fast Food Restaurant,27.6869306,85.3424996,Baneshwor,0.0992,0.5586,0.5395
ChIJq5FbP40Z6zkRpEiV5GpUpL8,Rail Station Cafe and Restaurant,27.6868447,85.3256208,Baneshwor,0.1018,0.3867,0.2633
ChIJxz8dQOcZ6zkRQxLLUGobKUw,RainBasera Restaurant and Bar,27.6854259,85.3349757,Baneshwor,0.1533,0.5952,0.4562
ChIJFQGfV5sZ6zkRf8rRCgxhi-c,Catmandu foodland restaurant and bar,27.6906284,85.3352482,Baneshwor,0.1685,0.6529,0.52
ChIJ84LtBAAZ6zkRbnVknpuSqYM,Current &T Station,27.6846901,85.337786,Baneshwor,0.1384,0.4825,0.3761
ChIJmUHonR8Z6zkRx3HbHlleX7g,Rockse restaurant and bar,27.6995768,85.33652169999999,Baneshwor,0.1097,0.436,0.293
ChIJIcwzDAAZ6zkR4qMn_fMN16Q,Cyberbar Restaurant,27.695612,85.32829869999999,Baneshwor,0.1022,0.2891,0.2708
