place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population,label
ChIJ0RlJ4_wY6zkRYpyG8OuZsPo,27.7146621,85.31089109999999,Baneshwor,0.517,0.5843,0.2448,0.5114,1
ChIJ4Wh9oHcZ6zkRJK_W0ch_bHE,27.676802,85.34260019999999,Baneshwor,0.2694,0.5301,0.4851,0.5226,1
ChIJrRnmVwAZ6zkRajdJOxH39O8,27.700451,85.33902979999999,Baneshwor,0.3188,0.4244,0.4769,0.4579,1
ChIJsQocDwAb6zkRpQaqnMbrB78,27.6941149,85.36684439999999,Baneshwor,0.0,0.2308,0.502,0.0,1
ChIJE6B3X-kZ6zkRApl8rtqZ_Uo,27.7053724,85.3080152,Baneshwor,0.5352,0.4504,0.4111,0.9878,1
ChIJk7O87PwZ6zkRzwYpzIwUKr0,27.6943958,85.2851601,Baneshwor,0.0035,0.2338,0.5205,0.0003,1
ChIJXc83nysZ6zkRj_lWHCnLYrE,27.6831961,85.34337819999999,Baneshwor,0.3422,0.5475,0.4801,0.4906,1
ChIJx-rH-KEZ6zkRq-QvBJs71m8,27.6911566,85.33356479999999,Baneshwor,0.4,0.5479,0.4093,0.4596,1
ChIJJU4P4ZUZ6zkRMRAGpxe9sRs,27.6879185,85.35038089999999,Baneshwor,0.1579,0.3383,0.4936,0.2843,1
ChIJh0SBWnAZ6zkRB9KDaEFogW0,27.6808154,85.3416953,Baneshwor,0.2434,0.5401,0.4894,0.5698,1
ChIJHXim3TQY6zkROol8Hc-8v0M,27.6782662,85.3125769,Baneshwor,0.337,0.3836,0.3506,0.226,1
ChIJU61MPJIZ6zkRASZo1bQGWtQ,27.687651,85.3431789,Baneshwor,0.4029,0.5076,0.4418,0.4446,1
ChIJGcw5gI0Z6zkRRlmp4nrRatY,27.6820656,85.3327213,Baneshwor,0.339,0.4526,0.4822,0.4832,1
ChIJkUvUZL4Z6zkRO4HDCMYzBXs,27.6874438,85.3321591,Baneshwor,0.4445,0.566,0.4259,0.4699,1
ChIJRXHEdEUZ6zkRuDOnwWgMIFc,27.6870955,85.342732,Baneshwor,0.4126,0.5199,0.4403,0.4292,1
ChIJxzm8f78Z6zkR1F7lHwOY994,27.7009212,85.34987199999999,Baneshwor,0.1265,0.3548,0.5076,0.2755,1
ChIJd001AcUZ6zkRNucGCYx90tI,27.6888379,85.34457619999999,Baneshwor,0.3843,0.4286,0.4362,0.499,1
ChIJx6Fe3pMZ6zkRf40G9ANpoL8,27.6883177,85.3409051,Baneshwor,0.394,0.5293,0.4584,0.4091,1
ChIJDx4CXwEZ6zkRtLFmjszyPzQ,27.6995034,85.3288218,Baneshwor,0.2075,0.4509,0.4973,0.4902,1
ChIJ1aQhkbwZ6zkR4Aoria2omQ8,27.692128,85.32995,Baneshwor,0.2825,0.4785,0.4727,0.4421,1
ChIJi2952UwZ6zkR9ngAApXEFkE,27.701903100000003,85.30029809999999,Baneshwor,0.2594,0.3546,0.4922,0.6638,1
ChIJSzZ6M3cZ6zkRmY2g0g4eMVU,27.7116034,85.3430666,Baneshwor,0.0,0.2311,0.7803,0.0,1
ChIJJ_B0XhQZ6zkRmlzWtJr2X90,27.7278233,85.33425670000001,Baneshwor,0.0,0.2223,0.4272,0.0,1
ChIJg4zQapkZ6zkR2uBepetk5n8,27.6984652,85.338222,Baneshwor,0.3042,0.3903,0.4729,0.4689,1
ChIJHbh-aAAZ6zkRpVS96d5fs8s,27.686532,85.346147,Baneshwor,0.37,0.4256,0.4555,0.4205,1
ChIJfaOkgewZ6zkRG4nnlti207M,27.6794255,85.3396441,Baneshwor,0.2119,0.5242,0.5013,0.5385,1
ChIJDRaEEgAZ6zkRaOH0xFam8GI,27.6755784,85.3324956,Baneshwor,0.1854,0.413,0.4998,0.301,1
ChIJKVQympUZ6zkRBRMg4oHkNF0,27.6859483,85.3351977,Baneshwor,0.4069,0.6487,0.4288,0.4706,1
ChIJGwbAm50Z6zkRLVfTKysonhI,27.7215391,85.3352453,Baneshwor,0.0,0.2363,0.5296,0.0051,1
ChIJzZTBOgAZ6zkRcsb0oto6SgU,27.6848264,85.34568,Baneshwor,0.3621,0.4468,0.4644,0.4156,1
ChIJB3nJR2oZ6zkRkUFXAmWaso4,27.690782,85.34058019999999,Baneshwor,0.3699,0.4481,0.4289,0.4643,1
ChIJC3bgcLIZ6zkR7NEQGI2jSkE,27.7017015,85.3276652,Baneshwor,0.2583,0.4785,0.4925,0.5629,1
ChIJl8FvK5oZ6zkRJ-EhEpmJXm4,27.6871427,85.3353988,Baneshwor,0.4573,0.6219,0.4234,0.4145,1
ChIJnSyI7isZ6zkRxnaBpJoekM0,27.6965625,85.32818750000001,Baneshwor,0.1961,0.4871,0.496,0.3829,1
ChIJCeVIfQAZ6zkRp0lJSyltmco,27.6868099,85.3254951,Baneshwor,0.2516,0.3627,0.5095,0.3624,1
ChIJP9bPg70Z6zkR-COOrYoc5OE,27.6911255,85.3337272,Baneshwor,0.4039,0.5471,0.4066,0.4587,1
ChIJrfNQdTAZ6zkRirRByvMlPE4,27.6942549,85.3347357,Baneshwor,0.3577,0.4334,0.4502,0.5119,1
ChIJFeCoGQAZ6zkRzvutDCXXo0o,27.7006875,85.3398125,Baneshwor,0.3161,0.4257,0.4833,0.4607,1
ChIJQW6G-esZ6zkR2H9SqKV8s5E,27.6879243,85.3355898,Baneshwor,0.4493,0.6138,0.412,0.3948,1
ChIJQUREGAAZ6zkRF3ZutJyv4dI,27.6950822,85.34420709999999,Baneshwor,0.2642,0.3965,0.5138,0.5344,1
ChIJAVN0ek0Z6zkREzuTWKujkv8,27.6960723,85.3303311,Baneshwor,0.2468,0.5403,0.4989,0.474,1
ChIJ8-wn8Q4Z6zkR_zan4v2w36M,27.6842635,85.3333667,Baneshwor,0.3989,0.5032,0.4608,0.576,1
ChIJrzg7iq0Z6zkR_zcJSosYdH8,27.7030384,85.33443199999999,Baneshwor,0.2497,0.4587,0.5023,0.6332,1
ChIJiVxnSQAZ6zkRPJjRsxyIXXA,27.6944883,85.3299941,Baneshwor,0.2501,0.4965,0.4892,0.454,1
ChIJqeGNXwcZ6zkR7sRr9MlvGHY,27.6856406,85.3352208,Baneshwor,0.4021,0.6298,0.4271,0.4862,1
ChIJI1zpp2YZ6zkRFQyAF41RJwA,27.7112671,85.3151068,Baneshwor,0.5116,0.4826,0.3057,0.4184,1
ChIJycSbSQAZ6zkR4459tco5OHw,27.6877376,85.33689009999999,Baneshwor,0.4412,0.6093,0.4014,0.3897,1
ChIJ1Spl9eIZ6zkRv8nP9OwELrw,27.6843198,85.3398753,Baneshwor,0.3163,0.5563,0.4548,0.4467,1
