bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,restaurant_name,primary_type,searched_as
7,3,0,23,5,14,2,43,4,9,56,18,6,7,4.283333333333334,66.66666666666667,339.7661071965835,BG_00013,27.692936316787755,85.35112664456823,Baneshwor,,,
18,2,0,28,17,8,1,52,6,21,65,29,14,9,4.422222222222221,108.11111111111111,50.98928956467145,BG_00014,27.702685692696424,85.33483819132788,Baneshwor,,,
24,4,1,32,34,12,0,78,8,22,74,19,18,27,4.277777777777778,216.11111111111111,93.22973178275295,BG_00015,27.683879790294583,85.33753155682535,Baneshwor,,,
5,0,0,10,6,4,0,33,4,7,38,16,10,5,4.5200000000000005,37.8,338.45004344071634,BG_00016,27.702723318918604,85.34710122935567,Baneshwor,,,
8,3,0,31,6,14,1,51,4,15,60,15,14,10,4.444444444444445,81.44444444444444,118.26569643961074,BG_00017,27.69683720357416,85.34902694736807,Baneshwor,,,
4,0,0,18,7,8,0,72,6,21,80,18,17,13,4.384615384615385,86.3076923076923,100.78299031624609,BG_00018,27.682375237003846,85.33981921328878,Baneshwor,,,
21,3,1,17,15,5,1,66,12,13,44,17,6,16,4.418749999999999,26.625,67.89871663427301,BG_00019,27.694372442705927,85.32833664067965,Baneshwor,,,
5,1,0,16,4,11,2,32,4,8,35,11,6,5,4.175,76.25,321.2572706278945,BG_00020,27.692928385573737,85.35231871819629,Baneshwor,,,
11,3,0,1,7,1,0,24,4,2,37,1,2,6,4.216666666666666,136.5,230.2600407668795,BG_00021,27.696583446704075,85.3233128819896,Baneshwor,,,
7,0,0,21,6,11,2,37,4,8,61,17,8,6,4.220000000000001,68.6,304.30466675355717,BG_00022,27.692467224616408,85.35069223393278,Baneshwor,,,
16,3,0,37,27,12,0,59,6,23,80,17,15,26,4.4192307692307695,184.73076923076923,96.68213858366416,BG_00023,27.685092614117227,85.34033031254889,Baneshwor,,,
22,1,0,38,35,10,1,67,3,13,62,45,10,29,4.3,82.14285714285714,61.09758827010101,BG_00024,27.69543221531942,85.34009951769791,Baneshwor,,,
45,4,2,54,29,7,1,65,12,17,57,28,12,40,4.359999999999999,214.275,82.02155118277261,BG_00025,27.692076961317984,85.33179348349962,Baneshwor,,,
16,0,0,39,17,12,0,59,7,29,94,20,16,25,4.468,185.96,179.20043463665348,BG_00026,27.683414634372337,85.34157816949194,Baneshwor,,,
16,1,0,17,12,8,1,50,2,12,75,21,6,21,4.165,130.7,71.3358065524352,BG_00027,27.688777018367134,85.34914192410201,Baneshwor,,,
26,1,0,43,19,12,0,86,6,25,99,29,17,21,4.4,96.04761904761905,124.92858117903039,BG_00028,27.682085509885656,85.34414786285403,Baneshwor,,,
11,3,0,34,13,8,0,59,4,12,92,31,15,9,4.433333333333334,76.66666666666667,178.1525559708432,BG_00029,27.695839877158072,85.34580022423587,Baneshwor,,,
9,3,1,20,13,8,2,49,7,14,71,25,11,8,4.625,28.0,201.64452999114965,BG_00030,27.699791468284637,85.3308405415576,Baneshwor,,,
12,3,0,34,11,13,1,54,3,16,79,27,15,8,4.4375,80.75,185.31912078213696,BG_00031,27.696872963003624,85.34727420720334,Baneshwor,,,
21,1,0,41,22,6,0,56,4,15,57,30,16,19,4.3315789473684205,54.1578947368421,140.4273323338842,BG_00032,27.697756521158123,85.3424427472535,Baneshwor,,,
56,6,3,59,50,12,0,66,10,16,52,28,6,50,4.250000000000001,195.0,56.31746405188345,BG_00033,27.689578804460755,85.33496700734977,Baneshwor,,,
35,5,2,43,40,14,1,76,9,18,90,25,13,36,4.2555555555555555,197.11111111111111,62.57304634738416,BG_00034,27.684842996433485,85.33511807276281,Baneshwor,,,
34,5,1,36,38,13,0,66,10,16,73,20,10,31,4.264516129032257,305.1290322580645,99.55363526514564,BG_00035,27.68502216576667,85.33684820139474,Baneshwor,,,
9,0,0,32,13,7,0,65,5,31,88,19,15,16,4.46875,75.8125,99.58362892594417,BG_00036,27.682286259533775,85.34191742201926,Baneshwor,,,
5,2,0,29,5,14,1,50,4,14,42,15,14,9,4.4125,82.375,68.68852457613457,BG_00037,27.69753514376362,85.34945622870062,Baneshwor,,,
29,1,0,43,22,10,0,67,4,22,59,26,12,21,4.319047619047619,90.47619047619048,147.5045635654711,BG_00038,27.701499351481182,85.33809046026208,Baneshwor,,,
5,0,0,15,17,8,1,79,4,20,78,21,12,8,4.449999999999999,90.125,207.73061913082933,BG_00039,27.685279751988762,85.32751160636577,Baneshwor,,,
9,3,0,32,11,9,0,51,2,13,85,26,12,12,4.4363636363636365,67.72727272727273,228.6635276631494,BG_00040,27.694311503277998,85.34683849688072,Baneshwor,,,
21,3,0,25,23,3,1,65,13,14,56,19,8,21,4.542857142857143,40.904761904761905,69.7480676529589,BG_00041,27.693194983527725,85.32925922201291,Baneshwor,,,
26,0,0,36,29,9,1,86,4,12,97,27,18,18,4.411111111111112,77.0,142.98369627747573,BG_00042,27.683857851758603,85.33199064688776,Baneshwor,,,
6,1,0,26,21,10,0,51,1,12,67,38,12,10,4.400000000000001,50.0,124.43694140635323,BG_00043,27.69496288609866,85.34295259236316,Baneshwor,,,
20,0,0,38,25,11,1,92,3,14,105,21,22,16,4.49375,55.9375,206.02782193438256,BG_00044,27.683302991229244,85.33116234318031,Baneshwor,,,
26,1,0,29,13,11,1,41,4,18,34,13,18,9,4.522222222222222,130.66666666666666,171.51189706815302,BG_00045,27.704975251301427,85.33817382405876,Baneshwor,,,
19,6,0,25,22,11,2,53,5,13,68,28,18,8,4.75,27.75,84.03542839690404,BG_00046,27.70362865942911,85.32946863080895,Baneshwor,,,
26,3,0,43,26,17,1,70,4,21,123,28,13,31,4.363333333333332,208.43333333333334,105.40805070093845,BG_00047,27.68673114923539,85.34371914774026,Baneshwor,,,
19,3,0,23,15,9,2,40,6,20,62,21,15,7,4.557142857142858,58.285714285714285,94.52546849227888,BG_00048,27.703647386436437,85.33376083132819,Baneshwor,,,
50,4,3,60,37,7,0,48,13,16,53,33,9,43,4.388372093023256,202.88372093023256,76.2525826280095,BG_00049,27.69118195747989,85.33262689017842,Baneshwor,,,
20,0,1,19,21,7,2,75,9,18,69,34,10,22,4.327272727272727,83.13636363636364,131.9074522797363,BG_00050,27.696673942164647,85.33323349778956,Baneshwor,,,
17,2,0,25,9,9,1,39,5,15,44,17,13,7,4.514285714285714,58.714285714285715,115.89117199502961,BG_00051,27.704868762554877,85.33528272970915,Baneshwor,,,
28,1,0,42,24,12,1,76,3,19,126,28,11,33,4.35625,197.96875,123.10271293943157,BG_00052,27.687979136156354,85.3453679896174,Baneshwor,,,
6,2,0,23,6,10,1,37,3,13,33,19,13,8,4.3125,152.0,142.7784554557264,BG_00053,27.700111596317438,85.3487457555394,Baneshwor,,,
22,5,0,27,21,9,3,62,4,18,71,28,19,9,4.666666666666667,43.44444444444444,205.9952475342441,BG_00054,27.702914883427706,85.33062756823655,Baneshwor,,,
31,3,1,43,40,12,1,86,8,20,98,24,15,30,4.223333333333334,161.46666666666667,99.5452576609417,BG_00055,27.68406897060152,85.33524495632712,Baneshwor,,,
18,3,0,39,25,14,0,52,7,24,90,19,17,28,4.45,176.64285714285714,165.79511010808545,BG_00056,27.68453792363384,85.341538152983,Baneshwor,,,
