place_id,latitude,longitude,search_area,Demand,Accessibility,Competition,Population
BG_00220,27.688788276201485,85.33715586480609,Baneshwor,0.4286,0.5934,0.3815,0.3959
BG_00221,27.681734603080063,85.33593216290548,Baneshwor,0.3258,0.4917,0.4873,0.5643
BG_00222,27.68660152187361,85.33923354853638,Baneshwor,0.3561,0.6121,0.437,0.3907
BG_00223,27.702035068177093,85.34881326402385,Baneshwor,0.1069,0.2922,0.5061,0.2931
BG_00224,27.69089628719461,85.34252177677324,Baneshwor,0.3498,0.3552,0.4389,0.5269
BG_00225,27.68862403786581,85.34284944276463,Baneshwor,0.3804,0.4728,0.4345,0.4598
BG_00226,27.68891653047561,85.33923053388291,Baneshwor,0.4564,0.6004,0.3919,0.415
BG_00227,27.696710766272904,85.3415226591977,Baneshwor,0.3336,0.3983,0.5053,0.4894
BG_00228,27.695855679521635,85.33797639548276,Baneshwor,0.3137,0.3985,0.4407,0.4997
BG_00229,27.69077502465043,85.33728436641024,Baneshwor,0.4806,0.5824,0.3955,0.428
BG_00230,27.694854906605787,85.34365549506667,Baneshwor,0.2573,0.3588,0.4935,0.5404
BG_00231,27.69359470828812,85.3408697100835,Baneshwor,0.3671,0.4003,0.4656,0.5431
BG_00232,27.70111823708461,85.32889141621317,Baneshwor,0.2797,0.4613,0.5068,0.5881
BG_00233,27.68297028033173,85.33514214209008,Baneshwor,0.3508,0.5109,0.4889,0.5856
BG_00234,27.69857090177935,85.33054512629678,Baneshwor,0.2208,0.4241,0.5154,0.5424
BG_00235,27.702626956988407,85.33270179249386,Baneshwor,0.27,0.4536,0.5173,0.6845
BG_00236,27.68583372247296,85.32647032184046,Baneshwor,0.2179,0.3774,0.5018,0.3611
BG_00237,27.687728465753256,85.32522125575677,Baneshwor,0.2405,0.3678,0.5036,0.3714
BG_00238,27.6954530607809,85.33468895666593,Baneshwor,0.3181,0.3543,0.452,0.5181
BG_00239,27.69045614618971,85.33223392258661,Baneshwor,0.4028,0.6025,0.4151,0.468
BG_00240,27.69144030254581,85.34421680366229,Baneshwor,0.3364,0.3647,0.4971,0.5775
BG_00241,27.69523541687468,85.32992162561055,Baneshwor,0.2431,0.5059,0.4818,0.4621
BG_00242,27.70366819527608,85.34100844569066,Baneshwor,0.2511,0.3632,0.4865,0.4455
BG_00243,27.699964395411808,85.33025432283739,Baneshwor,0.2365,0.4467,0.5176,0.5831
BG_00244,27.69578257881074,85.33469682991048,Baneshwor,0.3019,0.3612,0.4549,0.5097
BG_00245,27.702393055093463,85.34298194875392,Baneshwor,0.2588,0.387,0.5253,0.4778
BG_00246,27.69313720047996,85.34072118978996,Baneshwor,0.3783,0.3928,0.4729,0.5335
BG_00247,27.706973743428826,85.33777109470775,Baneshwor,0.1203,0.3016,0.5327,0.3107
BG_00248,27.696488106799897,85.341234511412,Baneshwor,0.3361,0.401,0.4914,0.4953
BG_00249,27.681534535310124,85.33787579354372,Baneshwor,0.2593,0.5435,0.4784,0.5754
BG_00250,27.685344628968032,85.34810766263305,Baneshwor,0.2878,0.3964,0.468,0.3116
BG_00251,27.70711656907596,85.33453499025292,Baneshwor,0.1708,0.38,0.508,0.4346
BG_00252,27.705585423866623,85.34124299255224,Baneshwor,0.1554,0.3301,0.4778,0.3236
BG_00253,27.705013587916383,85.34248654665276,Baneshwor,0.1635,0.3228,0.4973,0.3434
BG_00254,27.692318712650074,85.32533031876437,Baneshwor,0.188,0.4709,0.512,0.3387
BG_00255,27.696156605981454,85.32418591214491,Baneshwor,0.1038,0.3877,0.5387,0.129
BG_00256,27.698912419238923,85.33697420847983,Baneshwor,0.2858,0.4165,0.4646,0.481
BG_00257,27.696863231037085,85.34802662610868,Baneshwor,0.2481,0.4472,0.5205,0.5263
BG_00258,27.69495576758117,85.32653187356576,Baneshwor,0.1685,0.4652,0.4971,0.2681
BG_00259,27.69095471237324,85.35105265703342,Baneshwor,0.148,0.3316,0.5306,0.3757
BG_00260,27.686354041646105,85.33154715526216,Baneshwor,0.3902,0.4976,0.4374,0.4717
BG_00261,27.69408352991201,85.32794355637492,Baneshwor,0.2117,0.4979,0.4933,0.355
BG_00262,27.701008120768066,85.34661206404449,Baneshwor,0.1897,0.3561,0.5634,0.4428
BG_00263,27.7009449375305,85.33715393675324,Baneshwor,0.302,0.4116,0.4862,0.5081
BG_00264,27.69880255184073,85.33572790041264,Baneshwor,0.2849,0.4184,0.4705,0.5038
BG_00265,27.68465502289241,85.33849744739916,Baneshwor,0.3286,0.5871,0.4294,0.4446
BG_00266,27.68793096022695,85.3444892230674,Baneshwor,0.3892,0.4405,0.4221,0.4753
BG_00267,27.69024941573611,85.34341421149924,Baneshwor,0.3429,0.38,0.4633,0.5004
BG_00268,27.69327549549816,85.34656743190504,Baneshwor,0.2498,0.3666,0.5135,0.5933
BG_00269,27.69316363797309,85.3465419245782,Baneshwor,0.2551,0.3675,0.5111,0.5936
BG_00270,27.69180525461344,85.34573967730103,Baneshwor,0.2974,0.3589,0.4988,0.5858
BG_00271,27.697697335898937,85.34575488045017,Baneshwor,0.262,0.4492,0.5316,0.517
BG_00272,27.7025945539127,85.34541183226875,Baneshwor,0.2099,0.3406,0.5524,0.3928
BG_00273,27.70087406988186,85.33449401956261,Baneshwor,0.2778,0.4251,0.5147,0.5924
BG_00274,27.68948908604113,85.32344371151608,Baneshwor,0.1996,0.3425,0.552,0.3348
BG_00275,27.701518568068124,85.34920547396209,Baneshwor,0.1151,0.3432,0.4888,0.2907
BG_00276,27.68629443412156,85.34346788162833,Baneshwor,0.3863,0.5154,0.4349,0.4496
BG_00277,27.68868885490193,85.33098662130836,Baneshwor,0.4033,0.4881,0.4112,0.4856
BG_00278,27.69122526754957,85.32668437997023,Baneshwor,0.2314,0.4696,0.5141,0.4069
BG_00279,27.70479003730533,85.34432489169745,Baneshwor,0.1353,0.2936,0.5044,0.3052
BG_00280,27.70488931193423,85.33696298879663,Baneshwor,0.2349,0.3927,0.476,0.4765
BG_00281,27.70431018806325,85.34451044986947,Baneshwor,0.1655,0.3043,0.539,0.33
BG_00282,27.686117887251736,85.34413200672608,Baneshwor,0.3852,0.4543,0.4394,0.4533
BG_00283,27.68839761941524,85.32702002754583,Baneshwor,0.2714,0.3896,0.4989,0.4201
BG_00284,27.6867164980594,85.33672807248452,Baneshwor,0.4057,0.6455,0.3912,0.4153
