place_id,latitude,longitude,primary_type,search_area,searched_as,bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m
ChIJoVvV6SwZ6zkROORAdAg8rbc,27.7136066,85.31247940000002,bar,New Road,bar,49,2,1,23,15,7,21,66,18,64,82,19,24,111,4.556363636363637,300.0,5.096401650228391
ChIJkQ7S1AEZ6zkRU-pwJyxyBH4,27.7080678,85.3138255,family_restaurant,New Road,bar,67,7,1,39,21,20,10,68,8,21,83,21,53,43,4.448837209302327,221.46511627906975,136.08011944709648
ChIJZ0H-CgEZ6zkR-fFqVikMUaM,27.7095047,85.31627850000001,,New Road,bar,53,7,3,28,23,9,7,73,9,17,109,20,25,59,4.410169491525425,228.45762711864407,98.88731585328225
ChIJ93fS7kkZ6zkRIqSzgvSEeVg,27.7165153,85.31318060000001,pub,New Road,bar,42,6,2,21,19,7,15,53,14,54,49,25,34,87,4.547674418604651,322.5581395348837,107.33862014478008
ChIJiyg2XtQZ6zkR351QBGTls0g,27.7114751,85.3122456,bar,New Road,bar,62,3,2,36,16,8,21,64,13,49,124,21,44,104,4.51747572815534,275.18446601941747,26.78251925603775
ChIJAfzC2cgZ6zkR6eCyNOpfxfo,27.7136713,85.3103007,bar,New Road,bar,46,0,2,21,14,7,23,62,17,74,91,24,32,112,4.545945945945946,304.1891891891892,12.038830880659043
ChIJ8QJQvCwZ6zkReC-fmF-WLRE,27.6994416,85.31153719999999,bar,New Road,bar,60,4,3,24,3,8,1,62,16,22,98,12,35,37,4.365714285714286,91.14285714285714,14.889737245702351
ChIJtZl1CJcZ6zkRVnzxlbb4RuM,27.7142825,85.31049420000001,bar,New Road,bar,49,2,2,21,17,9,22,62,17,74,96,24,39,113,4.5580357142857135,302.375,19.50559696199259
ChIJg5LmPgAZ6zkRXqfD0_UXKZo,27.7028809,85.3115273,bakery,New Road,bakery,84,4,3,35,4,20,9,65,22,23,80,12,63,55,4.178846153846154,187.65384615384616,53.183286134230734
ChIJe39aEFcY6zkRD6H1Yn4PtzU,27.7012121,85.3051354,bakery,New Road,bakery,47,0,0,33,2,10,10,41,7,18,92,23,75,46,4.179545454545454,119.5,123.74266473299636
ChIJxaBGlYkZ6zkRYIPTSRrqI_8,27.7097295,85.30797629999999,bakery,New Road,bakery,36,0,0,33,9,11,13,45,6,35,106,26,60,37,4.556756756756758,319.3243243243243,174.6469492175032
ChIJW5SXy-UZ6zkRtDWIDadFRJ8,27.7132693,85.312231,bakery,New Road,bakery,50,1,1,23,14,8,21,68,19,64,87,23,25,113,4.54375,300.9642857142857,18.862278390944823
ChIJ6-OmRP8Y6zkRVbXs08dD96Y,27.7058903,85.3095037,bakery,New Road,bakery,95,0,1,49,5,23,13,68,16,16,150,19,96,56,4.194444444444445,182.72222222222223,70.07896953770901
ChIJ2dHZZAAZ6zkRWf2Njwq5tG0,27.701887,85.308078,bakery,New Road,bakery,73,0,2,38,3,12,10,64,19,17,89,22,82,62,4.18135593220339,161.91525423728814,33.012175839033645
