bank_count_500m,bus_stop_count_500m,cinema_count_500m,clinic_count_500m,college_count_500m,hospital_count_500m,museum_count_500m,office_count_500m,parking_space_count_500m,recreation_count_500m,retail_count_500m,school_count_500m,temple_count_500m,competitor_count_500m,avg_restaurant_rating_500m,avg_review_ratings_500m,nearest_restaurant_m,place_id,latitude,longitude,search_area,primary_type,searched_as,label
19,0,1,31,28,7,1,60,4,19,65,40,10,32,4.25625,117.3125,71.96278731241142,ChIJDfvwr5kZ6zkRS4kH4AKIL7I,27.6965139,85.33750909999999,Baneshwor,fast_food_restaurant,cafe,1
52,5,2,23,53,8,5,83,13,22,68,54,23,22,4.166666666666666,80.71428571428571,18.42670762390713,ChIJi2vXvwcZ6zkRgZcAu3CVx5U,27.7068936,85.32251749999999,Baneshwor,coffee_shop,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.25,1471.0,18.26194328631397,ChIJm9z2YgIZ6zkRl_xLnL_RYdU,27.7277942,85.33443899999999,Baneshwor,cafe,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.75,68.5,366.6869830014635,ChIJ7fFdzTEZ6zkRRKVC8khx_kc,27.7336627,85.3175128,Baneshwor,coffee_shop,cafe,1
33,3,2,21,16,11,1,43,2,12,35,37,10,14,4.499999999999999,20.153846153846157,35.323756304801655,ChIJMagavIsZ6zkRuULwnOp4hQQ,27.7182567,85.3491572,Baneshwor,cafe,cafe,1
1,0,0,3,0,1,0,12,0,0,5,2,2,3,4.233333333333333,529.0,460.7416739585042,ChIJJxdGNcAZ6zkRaLWeXojyguI,27.7232147,85.33091569999999,Baneshwor,coffee_shop,cafe,1
41,0,0,35,14,9,22,54,15,53,113,30,43,92,4.5260869565217385,291.44565217391306,2.282415017575345,ChIJ2-DCD_wY6zkRSuuvB-s0OxE,27.7116266,85.3089788,Baneshwor,restaurant,cafe,1
37,3,2,43,40,14,1,84,9,17,90,27,14,33,4.233333333333333,204.87878787878788,80.13856784005122,ChIJ81syaCAZ6zkRnio87hfzZyY,27.684552600000004,85.3343945,Baneshwor,korean_barbecue_restaurant,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,7,4.371428571428572,95.71428571428572,35.30836954061683,ChIJCSnn8IEb6zkREiPjK4H-PZg,27.6942609,85.3665262,Baneshwor,cafe,cafe,1
0,0,0,0,0,0,0,0,0,0,0,0,0,3,4.466666666666668,513.3333333333334,77.03731628325697,ChIJZ5G_fEcZ6zkRjAar8lAW58s,27.7373953,85.3344606,Baneshwor,cafe,cafe,1
