place_id,restaurant_name,latitude,longitude,search_area,building_count_500m,Demand,Accessibility,Competition,Population
ChIJCWFzaAAb6zkRaFioexqEgz4,Newa Lahana Bhaktapur & Hotel,27.6722545,85.4308109,Bhaktapur durbar square,4943,0.3434,0.4211,0.3636,0.8642
ChIJfx2Tma8a6zkRmZyoA545Dz0,Aalucha,27.6715487,85.42835649999999,Bhaktapur durbar square,5120,0.3253,0.3707,0.3664,0.8951
ChIJ2xuZoaob6zkRsMHiGXf3zYA,Himalayan Takeaway Bhaktapur,27.6713509,85.43012019999999,Bhaktapur durbar square,4829,0.3246,0.3605,0.3752,0.8442
ChIJEzE6_cAb6zkR1eFJ1T6DCU0,Hotel Empire & Rooftop Restaurant,27.6716687,85.4293462,Bhaktapur durbar square,5114,0.3213,0.3691,0.3754,0.8941
ChIJAAAAAAAAAAARCwN5WdzZTyc,Vajra Boutique Hotel,27.6726197,85.4295217,Bhaktapur durbar square,5184,0.3193,0.3929,0.3706,0.9063
ChIJ9Q68TgAb6zkRBIoLAliNUdM,5I Restaurant,27.6844567,85.4109168,Bhaktapur durbar square,0,0.0,0.2171,0.7038,0.0
ChIJTzMQ9E0b6zkRMKnIP6I54nM,Luniva Restaurant & Guest House,27.6747818,85.43123109999999,Bhaktapur durbar square,4331,0.308,0.483,0.3984,0.7572
ChIJA0i3UdEb6zkRfj28qirdY8I,Temple Terrace Restaurant,27.6714191,85.4293764,Bhaktapur durbar square,5016,0.3309,0.367,0.3738,0.8769
ChIJJxlemN0F6zkR6mnSKJtTPUw,Namaste Newa Fastfood,27.6780133,85.4391407,Bhaktapur durbar square,1844,0.1534,0.412,0.4782,0.3224
ChIJTbAmN3Qb6zkRkCRN2FsKFHI,The Nanee,27.6727318,85.42570909999999,Bhaktapur durbar square,4242,0.3215,0.4313,0.3509,0.7416
ChIJTxenZwAb6zkRQ4IdLOfpewU,Muglan Hotel & Thakali Restaurant,27.6730394,85.4289139,Bhaktapur durbar square,5238,0.3165,0.4107,0.3616,0.9157
ChIJ4Rmjn8Eb6zkRB_ltBQDlPXU,Old Town Food: Best Late-Night Food in Bhaktapur,27.6776181,85.4075666,Bhaktapur durbar square,0,0.0,0.2294,0.5213,0.0
ChIJV0qIu6cb6zkRoRm2N5UFoVA,Just Chill Restaurant,27.6653184,85.4224212,Bhaktapur durbar square,1430,0.2206,0.4164,0.4715,0.25
ChIJ-0XTZKMa6zkR6NQX_8UNDD4,Tryst Fast Food Restaurant,27.6715225,85.4216812,Bhaktapur durbar square,2526,0.1605,0.3772,0.4577,0.4416
ChIJy0-KawAb6zkRTAuBZP04PZc,The Biryani House | Halal Restaurant,27.6678169,85.386591,Bhaktapur durbar square,0,0.0,0.1659,0.5278,0.0
ChIJK79mq68a6zkRq8LN6WM56Bk,Bhaktapur Kitchen,27.6713461,85.429779,Bhaktapur durbar square,4927,0.3166,0.3669,0.3772,0.8614
ChIJR0PGsa8a6zkRx5LjjNtmYf0,Aamako Bara Pasal,27.6718757,85.4294317,Bhaktapur durbar square,5140,0.32,0.3693,0.3733,0.8986
ChIJMXMScXYb6zkRwbEmhwIuVmM,Newa Nanee,27.6735524,85.4124763,Bhaktapur durbar square,152,0.0072,0.2517,0.5279,0.0266
ChIJM2SIKgAb6zkR8YYkDZ3Bg08,Wanted Restaurant,27.6696016,85.41097859999999,Bhaktapur durbar square,121,0.0103,0.2325,0.5076,0.0212
ChIJDVl62OIb6zkRDSJCFUdave8,Bluemoon homestay and Restaurant,27.6751651,85.4085202,Bhaktapur durbar square,15,0.0,0.2341,0.5182,0.0026
ChIJMTMW66Qa6zkROWzKHDL665M,Chandrayan Espresso Bar,27.6721252,85.4235942,Bhaktapur durbar square,3310,0.2383,0.4101,0.418,0.5787
ChIJh88yaZ4b6zkROuurZflbf_A,Ravi Dai Newa Chhen (Dattatraya Khaja Ghar / दत्तात्रय खाजा घर),27.6733346,85.4352088,Bhaktapur durbar square,4701,0.2804,0.5778,0.4497,0.8219
ChIJV44Z9M4b6zkRmUww9ejIzuk,Diyo Garden Restaurant,27.6633774,85.4259391,Bhaktapur durbar square,1266,0.1929,0.3969,0.471,0.2213
ChIJKfQQGAYF6zkRqGOVHC0Agjc,Thakali Station,27.6783117,85.4407716,Bhaktapur durbar square,1224,0.1098,0.3737,0.4743,0.214
ChIJ0xsKWMob6zkR257V2XWaRSw,Newa Delights Restaurant,27.6726948,85.42469969999999,Bhaktapur durbar square,3753,0.2647,0.4176,0.3682,0.6561
ChIJJY_ZHfAb6zkRs5sLzObMYRI,Nesara,27.6716936,85.4276158,Bhaktapur durbar square,5001,0.3284,0.3908,0.3668,0.8743
ChIJORshD80b6zkRsrGJSU_UiZg,Chiva Cafe,27.6714697,85.4295459,Bhaktapur durbar square,5031,0.3247,0.3682,0.3758,0.8795
ChIJ8eqBCa8a6zkRKRlF6r0xRDM,Himalayan Java Coffee - Bhaktapur,27.6708631,85.42923789999999,Bhaktapur durbar square,4805,0.3274,0.3509,0.3808,0.84
ChIJYTnknOsb6zkRxnFiQt4CFN8,Durbar Coffee & Eatery,27.672341,85.4266082,Bhaktapur durbar square,4736,0.3435,0.4242,0.3603,0.828
ChIJI8VtVK4a6zkRBhQQPXlNvIg,Coffee in Style,27.6713463,85.4300451,Bhaktapur durbar square,4829,0.3246,0.3627,0.375,0.8442
ChIJK-agba8a6zkRRvBMNJnJFBk,Coffee Klatch,27.6700445,85.4282604,Bhaktapur durbar square,4506,0.2855,0.3508,0.3711,0.7878
ChIJH57lXDsb6zkRZ36vDoVQEqc,FreshPresso Coffee Bar,27.6726397,85.4295795,Bhaktapur durbar square,5170,0.3173,0.3927,0.3705,0.9038
ChIJsSGoma8a6zkRfpPU8Oxppkw,Beans the Coffee Shop - Bhaktapur Durbar Square,27.6715359,85.42841179999999,Bhaktapur durbar square,5115,0.3231,0.3702,0.3653,0.8942
ChIJjSdqmgQb6zkR_5YD_l5ueVM,One O One Coffee & Barista School,27.663972800000003,85.42592429999999,Bhaktapur durbar square,1313,0.2085,0.3943,0.4792,0.2295
ChIJ7VROvOcb6zkRKl_cWSfYga0,JUJU CAFE,27.6726179,85.4292028,Bhaktapur durbar square,5260,0.313,0.4065,0.3631,0.9196
ChIJe9tOJcYF6zkRU-K5Kc6HW5Y,Thalo brews and cafe,27.678486300000003,85.4402326,Bhaktapur durbar square,1303,0.1127,0.3788,0.4778,0.2278
ChIJPy8EZQAb6zkRKqM46vOOGqk,Futzone cafe,27.6779267,85.42044500000002,Bhaktapur durbar square,482,0.0257,0.2907,0.5158,0.0843
ChIJxzlcHPsb6zkRTqKYow__ZCs,Matina Cafe,27.6715049,85.4298364,Bhaktapur durbar square,4942,0.3153,0.3659,0.3724,0.864
ChIJ7Z2XjEwb6zkRd5jpjRqZTrE,Café:In,27.664202,85.4217985,Bhaktapur durbar square,1220,0.1879,0.4027,0.4736,0.2133
ChIJM2V3EQAF6zkRtGvpHGmh5hA,Nyasa Cafe,27.676534,85.43905,Bhaktapur durbar square,2646,0.2082,0.4897,0.4783,0.4626
ChIJv_9Pr3Qb6zkRj3OehCnTFzk,Cafe Boh,27.6783498,85.3984108,Bhaktapur durbar square,0,0.0,0.1996,0.5329,0.0
ChIJM9yfkuEb6zkRp6JdD1TRCB8,Komeda Cafe,27.6654822,85.4235039,Bhaktapur durbar square,1597,0.2464,0.42,0.4723,0.2792
ChIJUc86Vd4Z6zkRrLR-bmTrlqk,5th street cafee,27.7012864,85.415489,Bhaktapur durbar square,0,0.0,0.1709,0.8303,0.0
ChIJocNj6vob6zkRqQzsZ0BOdrA,One O One Coffee & Barista School -Gatthagar,27.6741342,85.37428539999999,Bhaktapur durbar square,0,0.0,0.2124,0.5501,0.0
ChIJkdhyubkb6zkRGz-qHJUJRHk,Ramailo Cafe,27.674312,85.3634532,Bhaktapur durbar square,476,0.0978,0.297,0.5396,0.0832
ChIJ7-CBeAAP6zkRecaJuw3vsI4,Lungta cafe,27.661326,85.445702,Bhaktapur durbar square,0,0.0,0.2299,0.802,0.0
ChIJYwpQX5AR6zkRVOodLYzcwVc,Readers Hub,27.6745681,85.36715889999999,Bhaktapur durbar square,26,0.0,0.2329,0.511,0.0045
ChIJFxQRAHsb6zkRrFK8NV5pLhE,Arabica coffee Radhe Radhe,27.6763531,85.39812239999999,Bhaktapur durbar square,0,0.0,0.1995,0.5117,0.0
ChIJddrQiA4b6zkRulGnYohUIxI,Sawaa Garden Cafe,27.6766824,85.39331969999999,Bhaktapur durbar square,0,0.0,0.1837,0.5733,0.0
ChIJP90mZkEb6zkRqP6Rd5Gz7kE,Koila Cafe,27.6895553,85.3716756,Bhaktapur durbar square,0,0.0,0.2242,0.502,0.0
ChIJvWLbcQAb6zkRHUhI0I8A210,YaNi cafe,27.6732158,85.3798578,Bhaktapur durbar square,0,0.0,0.1948,0.7809,0.0
ChIJebFOKI0b6zkRxVQEg3gJDeI,Arabica Coffee Pepsicola,27.6883065,85.36833,Bhaktapur durbar square,91,0.0029,0.2607,0.4812,0.0159
ChIJFTmXrXQb6zkReVpbZyv6IzA,Cup of tales Cafe,27.6871335,85.3662154,Bhaktapur durbar square,337,0.0262,0.3248,0.4824,0.0589
ChIJTz2vSR8b6zkRKtjt6IKIM7I,High ground beverage and and fastfood,27.6743353,85.433583,Bhaktapur durbar square,4965,0.2425,0.5837,0.4335,0.868
ChIJkQ9wXswb6zkRPDihQqNwqJ0,Didi Swing Cafe,27.7084263,85.3898066,Bhaktapur durbar square,0,0.0,0.196,0.825,0.0
ChIJXS_u6e8b6zkRXuKM9ZM8qM0,Shiva Guest House,27.6718108,85.428603,Bhaktapur durbar square,5217,0.3278,0.3704,0.3644,0.9121
ChIJNWNJ7Joa6zkRSavBJME-tgk,Universal Tandoori Cafe,27.6713044,85.4082338,Bhaktapur durbar square,2,0.0,0.226,0.492,0.0003
