area,osmid,latitude,longitude
Baneshwor,6089360209,27.7009951,85.3469631
Baneshwor,9381543991,27.702001299999992,85.3472036
Baneshwor,1281196397,27.704473299999997,85.344988
Baneshwor,1274031457,27.69929509999999,85.345621
Baneshwor,1950362248,27.6993293,85.34534150000002
Baneshwor,1395061152,27.700600399999995,85.3459669
Baneshwor,1395070034,27.700132,85.3479319
Baneshwor,1274038036,27.7024327,85.3375269
Baneshwor,1274038038,27.7026343,85.3368386
Baneshwor,1835392338,27.7020998,85.3384809
Baneshwor,6089715685,27.703078399999992,85.33757080000001
Baneshwor,1281218842,27.702646299999994,85.3367986
Baneshwor,1347468317,27.7008576,85.336648
Baneshwor,1274038044,27.7049761,85.3290204
Baneshwor,1281218872,27.7052115,85.3292849
Baneshwor,1274038168,27.702792699999996,85.3362988
Baneshwor,1281218790,27.703281999999994,85.3361955
Baneshwor,6059082987,27.702551099999994,85.3360781
Baneshwor,1281218986,27.703014000000003,85.3355858
Baneshwor,1279198127,27.691951799999995,85.3309527
Baneshwor,8220268583,27.690384499999997,85.3309687
Baneshwor,1382824251,27.692632,85.3307127
Baneshwor,2168021890,27.691843899999995,85.3313594
Baneshwor,1945637573,27.692343199999996,85.3293881
Baneshwor,1280126110,27.7014566,85.3496495
Baneshwor,6075746468,27.701365399999997,85.3499905
Baneshwor,6075746454,27.700956400000003,85.3491542
Baneshwor,1280128328,27.680800299999998,85.3395264
Baneshwor,6084175092,27.680716900000004,85.3394536
Baneshwor,10113638921,27.680999100000005,85.3390884
Baneshwor,10113638936,27.681067099999996,85.3403198
Baneshwor,1281196411,27.701995200000002,85.3439789
Baneshwor,12518252749,27.702128000000002,85.3435844
Baneshwor,6522184056,27.701175799999998,85.3438539
Baneshwor,1950520571,27.705926199999997,85.3443093
Baneshwor,1281196473,27.700956299999998,85.3438681
Baneshwor,1395061153,27.700665699999995,85.3458338
Baneshwor,1394568912,27.700660099999993,85.3437539
Baneshwor,1281218785,27.705721900000007,85.332104
Baneshwor,1281218808,27.705600300000004,85.3323693
Baneshwor,1835392383,27.704745,85.3363336
Baneshwor,7025158491,27.7035952,85.3377119
Baneshwor,1281218800,27.7038708,85.3355755
Baneshwor,1281218968,27.703834499999996,85.3358182
Baneshwor,1281218891,27.705460700000003,85.3325903
Baneshwor,6098833129,27.704985699999995,85.3315428
Baneshwor,1281218810,27.7056945,85.3300334
Baneshwor,8417378779,27.7054356,85.33037800000001
Baneshwor,1281218812,27.703913299999996,85.33264
Baneshwor,1905312701,27.70380769999999,85.3329153
Baneshwor,5100065664,27.704327699999997,85.3312106
Baneshwor,10588903158,27.703410699999996,85.3322674
Baneshwor,1281218840,27.701756300000003,85.3281152
Baneshwor,1400078206,27.702121600000005,85.3282105
Baneshwor,1400078153,27.7015084,85.3273523
Baneshwor,1962226010,27.70164199999999,85.3282117
Baneshwor,1281218847,27.7052168,85.3308504
Baneshwor,1281218869,27.704415699999995,85.3288451
Baneshwor,2224742041,27.7049461,85.3291269
Baneshwor,2262615650,27.703893299999994,85.3286185
Baneshwor,3775699525,27.7037706,85.3305005
Baneshwor,2041703560,27.705278,85.3293543
Baneshwor,6098838364,27.70479569999999,85.3323622
Baneshwor,1281218913,27.705186699999995,85.3333215
Baneshwor,2105153041,27.705910600000003,85.3326974
Baneshwor,1281219000,27.7062999,85.3315053
Baneshwor,1281218946,27.7038043,85.3360047
Baneshwor,3047043265,27.703235899999996,85.3359521
Baneshwor,10606379199,27.705355399999995,85.3361758
Baneshwor,1281218954,27.7062376,85.3312017
Baneshwor,7464580359,27.7060976,85.3312504
Baneshwor,6089568469,27.7041581,85.3357905
Baneshwor,1281218977,27.7034334,85.3303998
Baneshwor,4210507176,27.7028249,85.329461
Baneshwor,1400078348,27.7033454,85.3314274
Baneshwor,10606337587,27.703336399999998,85.3344635
Baneshwor,1281221650,27.702700899999996,85.3358878
